NAME                                                                          VERSION                                                      TYPE                          
Microsoft.PowerShell.PSResourceGet                                            1.1.0.1+44697aed1740126153a8d9dd0ef368261b2fe45c             dotnet                         
Microsoft.PowerShell.Pager                                                    1.0.0.0                                                      dotnet                         
Microsoft.PowerShell.SDK                                                      7.5.1                                                        dotnet                         
Microsoft.PowerShell.Security                                                 7.5.1                                                        dotnet                         
Microsoft.PowerShell.ThreadJob                                                2.0.1                                                        dotnet                         
Microsoft.VisualBasic                                                         9.0.425.16305                                                dotnet                         
Microsoft.VisualBasic.Core                                                    14.0.425.16305                                               dotnet                         
Microsoft.Win32.Primitives                                                    9.0.425.16305                                                dotnet                         
Microsoft.Win32.Registry                                                      9.0.425.16305                                                dotnet                         
Microsoft.Win32.Registry.AccessControl                                        9.0.4                                                        dotnet                         
Microsoft.Win32.SystemEvents                                                  9.0.4                                                        dotnet                         
Microsoft.Windows.Compatibility                                               9.0.4                                                        dotnet                         
Newtonsoft.Json                                                               13.0.3                                                       dotnet                         
NuGet.Commands                                                                6.9.1.3                                                      dotnet                         
NuGet.Common                                                                  6.9.1.3                                                      dotnet                         
NuGet.Configuration                                                           6.9.1.3                                                      dotnet                         
NuGet.Credentials                                                             6.9.1.3                                                      dotnet                         
NuGet.DependencyResolver.Core                                                 6.9.1.3                                                      dotnet                         
NuGet.Frameworks                                                              6.9.1.3                                                      dotnet                         
NuGet.LibraryModel                                                            6.9.1.3                                                      dotnet                         
NuGet.Packaging                                                               6.9.1.3                                                      dotnet                         
NuGet.ProjectModel                                                            6.9.1.3                                                      dotnet                         
NuGet.Protocol                                                                6.9.1.3                                                      dotnet                         
NuGet.Versioning                                                              6.9.1.3                                                      dotnet                         
POC_CloudFilter_ArbitraryFile_EoP                                             1.0.0.0                                                      dotnet                         
PackageManagement                                                             3.0.0.0                                                      dotnet                         
SharpHound                                                                    1.1.0                                                        dotnet                         
SilverApp1                                                                    1.0.0.0                                                      dotnet                         
SqlClrPayload                                                                 1.0.0.0                                                      dotnet        (+7 duplicates)  
System                                                                        9.0.425.16305                                                dotnet                         
System.AppContext                                                             9.0.425.16305                                                dotnet                         
System.Buffers                                                                4.6.28619.01                                                 dotnet                         
System.Buffers                                                                9.0.425.16305                                                dotnet                         
System.CodeDom                                                                9.0.4                                                        dotnet                         
System.Collections                                                            9.0.425.16305                                                dotnet                         
System.Collections.Concurrent                                                 9.0.425.16305                                                dotnet                         
System.Collections.Immutable                                                  9.0.425.16305                                                dotnet                         
System.Collections.NonGeneric                                                 9.0.425.16305                                                dotnet                         
System.Collections.Specialized                                                9.0.425.16305                                                dotnet                         
System.ComponentModel                                                         9.0.425.16305                                                dotnet                         
System.ComponentModel.Annotations                                             9.0.425.16305                                                dotnet                         
System.ComponentModel.Composition                                             9.0.4                                                        dotnet                         
System.ComponentModel.Composition.Registration                                9.0.4                                                        dotnet                         
System.ComponentModel.DataAnnotations                                         9.0.425.16305                                                dotnet                         
System.ComponentModel.EventBasedAsync                                         9.0.425.16305                                                dotnet                         
System.ComponentModel.Primitives                                              9.0.425.16305                                                dotnet                         
System.ComponentModel.TypeConverter                                           9.0.425.16305                                                dotnet                         
System.Configuration                                                          9.0.425.16305                                                dotnet                         
System.Configuration.ConfigurationManager                                     9.0.4                                                        dotnet                         
System.Console                                                                9.0.425.16305                                                dotnet                         
System.Core                                                                   9.0.425.16305                                                dotnet                         
System.Data                                                                   9.0.425.16305                                                dotnet                         
System.Data.Common                                                            9.0.425.16305                                                dotnet                         
System.Data.DataSetExtensions                                                 9.0.425.16305                                                dotnet                         
System.Data.Odbc                                                              9.0.4                                                        dotnet                         
System.Data.OleDb                                                             9.0.4                                                        dotnet                         
System.Data.SqlClient                                                         4.8.6                                                        dotnet                         
System.Diagnostics.Contracts                                                  9.0.425.16305                                                dotnet                         
System.Diagnostics.Debug                                                      9.0.425.16305                                                dotnet                         
System.Diagnostics.DiagnosticSource                                           6.0.1523.11507                                               dotnet                         
System.Diagnostics.DiagnosticSource                                           9.0.425.16305                                                dotnet                         
System.Diagnostics.EventLog                                                   9.0.4                                                        dotnet                         
System.Diagnostics.FileVersionInfo                                            9.0.425.16305                                                dotnet                         
System.Diagnostics.PerformanceCounter                                         9.0.4                                                        dotnet                         
System.Diagnostics.Process                                                    9.0.425.16305                                                dotnet                         
System.Diagnostics.StackTrace                                                 9.0.425.16305                                                dotnet                         
System.Diagnostics.TextWriterTraceListener                                    9.0.425.16305                                                dotnet                         
System.Diagnostics.Tools                                                      9.0.425.16305                                                dotnet                         
System.Diagnostics.TraceSource                                                9.0.425.16305                                                dotnet                         
System.Diagnostics.Tracing                                                    9.0.425.16305                                                dotnet                         
System.DirectoryServices                                                      9.0.4                                                        dotnet                         
System.DirectoryServices.AccountManagement                                    9.0.4                                                        dotnet                         
System.DirectoryServices.Protocols                                            9.0.4                                                        dotnet                         
System.Drawing                                                                9.0.425.16305                                                dotnet                         
System.Drawing.Common                                                         9.0.4                                                        dotnet                         
System.Drawing.Primitives                                                     9.0.425.16305                                                dotnet                         
System.Dynamic.Runtime                                                        9.0.425.16305                                                dotnet                         
System.Formats.Asn1                                                           9.0.425.16305                                                dotnet                         
System.Formats.Tar                                                            9.0.425.16305                                                dotnet                         
System.Globalization                                                          9.0.425.16305                                                dotnet                         
System.Globalization.Calendars                                                9.0.425.16305                                                dotnet                         
System.Globalization.Extensions                                               9.0.425.16305                                                dotnet                         
System.IO                                                                     9.0.425.16305                                                dotnet                         
System.IO.Compression                                                         9.0.425.16305                                                dotnet                         
System.IO.Compression.Brotli                                                  9.0.425.16305                                                dotnet                         
System.IO.Compression.FileSystem                                              9.0.425.16305                                                dotnet                         
System.IO.Compression.ZipFile                                                 9.0.425.16305                                                dotnet                         
System.IO.FileSystem                                                          9.0.425.16305                                                dotnet                         
System.IO.FileSystem.AccessControl                                            5.0.20.51904                                                 dotnet                         
System.IO.FileSystem.AccessControl                                            9.0.425.16305                                                dotnet                         
System.IO.FileSystem.DriveInfo                                                9.0.425.16305                                                dotnet                         
System.IO.FileSystem.Primitives                                               9.0.425.16305                                                dotnet                         
System.IO.FileSystem.Watcher                                                  9.0.425.16305                                                dotnet                         
System.IO.IsolatedStorage                                                     9.0.425.16305                                                dotnet                         
System.IO.MemoryMappedFiles                                                   9.0.425.16305                                                dotnet                         
System.IO.Packaging                                                           9.0.4                                                        dotnet                         
System.IO.Pipelines                                                           9.0.425.16305                                                dotnet                         
System.IO.Pipes                                                               9.0.425.16305                                                dotnet                         
System.IO.Pipes.AccessControl                                                 9.0.425.16305                                                dotnet                         
System.IO.Ports                                                               9.0.4                                                        dotnet                         
System.IO.UnmanagedMemoryStream                                               9.0.425.16305                                                dotnet                         
System.Linq                                                                   9.0.425.16305                                                dotnet                         
System.Linq.Expressions                                                       9.0.425.16305                                                dotnet                         
System.Linq.Parallel                                                          9.0.425.16305                                                dotnet                         
System.Linq.Queryable                                                         9.0.425.16305                                                dotnet                         
System.Management                                                             9.0.4                                                        dotnet                         
System.Management.Automation                                                  7.5.1                                                        dotnet                         
System.Memory                                                                 4.6.31308.01                                                 dotnet                         
System.Memory                                                                 9.0.425.16305                                                dotnet                         
System.Memory.Data                                                            1.0.221.20802                                                dotnet                         
System.Net                                                                    9.0.425.16305                                                dotnet                         
System.Net.Http                                                               9.0.425.16305                                                dotnet                         
System.Net.Http.Json                                                          9.0.425.16305                                                dotnet                         
System.Net.Http.WinHttpHandler                                                9.0.4                                                        dotnet                         
System.Net.HttpListener                                                       9.0.425.16305                                                dotnet                         
System.Net.Mail                                                               9.0.425.16305                                                dotnet                         
System.Net.NameResolution                                                     9.0.425.16305                                                dotnet                         
System.Net.NetworkInformation                                                 9.0.425.16305                                                dotnet                         
System.Net.Ping                                                               9.0.425.16305                                                dotnet                         
System.Net.Primitives                                                         9.0.425.16305                                                dotnet                         
System.Net.Quic                                                               9.0.425.16305                                                dotnet                         
System.Net.Requests                                                           9.0.425.16305                                                dotnet                         
System.Net.Security                                                           9.0.425.16305                                                dotnet                         
System.Net.ServicePoint                                                       9.0.425.16305                                                dotnet                         
System.Net.Sockets                                                            9.0.425.16305                                                dotnet                         
System.Net.WebClient                                                          9.0.425.16305                                                dotnet                         
System.Net.WebHeaderCollection                                                9.0.425.16305                                                dotnet                         
System.Net.WebProxy                                                           9.0.425.16305                                                dotnet                         
System.Net.WebSockets                                                         9.0.425.16305                                                dotnet                         
System.Net.WebSockets.Client                                                  9.0.425.16305                                                dotnet                         
System.Numerics                                                               9.0.425.16305                                                dotnet                         
System.Numerics.Vectors                                                       4.6.26515.06                                                 dotnet                         
System.Numerics.Vectors                                                       9.0.425.16305                                                dotnet                         
System.ObjectModel                                                            9.0.425.16305                                                dotnet                         
System.Private.ServiceModel                                                   4.10.3                                                       dotnet                         
System.Reflection                                                             9.0.425.16305                                                dotnet                         
System.Reflection.Context                                                     9.0.4                                                        dotnet                         
System.Reflection.DispatchProxy                                               9.0.425.16305                                                dotnet                         
System.Reflection.Emit                                                        9.0.425.16305                                                dotnet                         
System.Reflection.Emit.ILGeneration                                           9.0.425.16305                                                dotnet                         
System.Reflection.Emit.Lightweight                                            9.0.425.16305                                                dotnet                         
System.Reflection.Extensions                                                  9.0.425.16305                                                dotnet                         
System.Reflection.Metadata                                                    9.0.425.16305                                                dotnet                         
System.Reflection.Primitives                                                  9.0.425.16305                                                dotnet                         
System.Reflection.TypeExtensions                                              9.0.425.16305                                                dotnet                         
System.Resources.Reader                                                       9.0.425.16305                                                dotnet                         
System.Resources.ResourceManager                                              9.0.425.16305                                                dotnet                         
System.Resources.Writer                                                       9.0.425.16305                                                dotnet                         
System.Runtime                                                                9.0.425.16305                                                dotnet                         
System.Runtime.Caching                                                        9.0.4                                                        dotnet                         
System.Runtime.CompilerServices.Unsafe                                        6.0.21.52210                                                 dotnet                         
System.Runtime.CompilerServices.Unsafe                                        9.0.425.16305                                                dotnet                         
System.Runtime.CompilerServices.VisualC                                       9.0.425.16305                                                dotnet                         
System.Runtime.Extensions                                                     9.0.425.16305                                                dotnet                         
System.Runtime.Handles                                                        9.0.425.16305                                                dotnet                         
System.Runtime.InteropServices                                                9.0.425.16305                                                dotnet                         
System.Runtime.InteropServices.JavaScript                                     9.0.425.16305                                                dotnet                         
System.Runtime.InteropServices.RuntimeInformation                             9.0.425.16305                                                dotnet                         
System.Runtime.Intrinsics                                                     9.0.425.16305                                                dotnet                         
System.Runtime.Loader                                                         9.0.425.16305                                                dotnet                         
System.Runtime.Numerics                                                       9.0.425.16305                                                dotnet                         
System.Runtime.Serialization                                                  9.0.425.16305                                                dotnet                         
System.Runtime.Serialization.Formatters                                       9.0.425.16305                                                dotnet                         
System.Runtime.Serialization.Json                                             9.0.425.16305                                                dotnet                         
System.Runtime.Serialization.Primitives                                       9.0.425.16305                                                dotnet                         
System.Runtime.Serialization.Xml                                              9.0.425.16305                                                dotnet                         
System.Security                                                               9.0.425.16305                                                dotnet                         
System.Security.AccessControl                                                 5.0.20.51904                                                 dotnet                         
System.Security.AccessControl                                                 9.0.425.16305                                                dotnet                         
System.Security.Claims                                                        9.0.425.16305                                                dotnet                         
System.Security.Cryptography                                                  9.0.425.16305                                                dotnet                         
System.Security.Cryptography.Algorithms                                       9.0.425.16305                                                dotnet                         
System.Security.Cryptography.Cng                                              9.0.425.16305                                                dotnet                         
System.Security.Cryptography.Csp                                              9.0.425.16305                                                dotnet                         
System.Security.Cryptography.Encoding                                         9.0.425.16305                                                dotnet                         
System.Security.Cryptography.OpenSsl                                          9.0.425.16305                                                dotnet                         
System.Security.Cryptography.Pkcs                                             9.0.4                                                        dotnet                         
System.Security.Cryptography.Primitives                                       9.0.425.16305                                                dotnet                         
System.Security.Cryptography.ProtectedData                                    4.700.19.56404                                               dotnet                         
System.Security.Cryptography.ProtectedData                                    9.0.4                                                        dotnet                         
System.Security.Cryptography.X509Certificates                                 9.0.425.16305                                                dotnet                         
System.Security.Cryptography.Xml                                              9.0.4                                                        dotnet                         
System.Security.Permissions                                                   9.0.4                                                        dotnet                         
System.Security.Principal                                                     9.0.425.16305                                                dotnet                         
System.Security.Principal.Windows                                             5.0.20.51904                                                 dotnet                         
System.Security.Principal.Windows                                             9.0.425.16305                                                dotnet                         
System.Security.SecureString                                                  9.0.425.16305                                                dotnet                         
System.ServiceModel.Duplex                                                    4.10.3                                                       dotnet                         
System.ServiceModel.Http                                                      4.10.3                                                       dotnet                         
System.ServiceModel.NetTcp                                                    4.10.3                                                       dotnet                         
System.ServiceModel.Primitives                                                4.10.3                                                       dotnet                         
System.ServiceModel.Security                                                  4.10.3                                                       dotnet                         
System.ServiceModel.Syndication                                               9.0.4                                                        dotnet                         
System.ServiceModel.Web                                                       9.0.425.16305                                                dotnet                         
System.ServiceProcess                                                         9.0.425.16305                                                dotnet                         
System.ServiceProcess.ServiceController                                       9.0.4                                                        dotnet                         
System.Speech                                                                 9.0.4                                                        dotnet                         
System.Text.Encoding                                                          9.0.425.16305                                                dotnet                         
System.Text.Encoding.CodePages                                                9.0.425.16305                                                dotnet                         
System.Text.Encoding.Extensions                                               9.0.425.16305                                                dotnet                         
System.Text.Encodings.Web                                                     8.0.23.53103                                                 dotnet                         
System.Text.Encodings.Web                                                     9.0.425.16305                                                dotnet                         
System.Text.Json                                                              8.0.1024.46610                                               dotnet                         
System.Text.Json                                                              9.0.425.16305                                                dotnet                         
System.Text.RegularExpressions                                                9.0.425.16305                                                dotnet                         
System.Threading                                                              9.0.425.16305                                                dotnet                         
System.Threading.AccessControl                                                9.0.4                                                        dotnet                         
System.Threading.Channels                                                     9.0.425.16305                                                dotnet                         
System.Threading.Overlapped                                                   9.0.425.16305                                                dotnet                         
System.Threading.Tasks                                                        9.0.425.16305                                                dotnet                         
System.Threading.Tasks.Dataflow                                               9.0.425.16305                                                dotnet                         
System.Threading.Tasks.Extensions                                             4.6.28619.01                                                 dotnet                         
System.Threading.Tasks.Extensions                                             9.0.425.16305                                                dotnet                         
System.Threading.Tasks.Parallel                                               9.0.425.16305                                                dotnet                         
System.Threading.Thread                                                       9.0.425.16305                                                dotnet                         
System.Threading.ThreadPool                                                   9.0.425.16305                                                dotnet                         
System.Threading.Timer                                                        9.0.425.16305                                                dotnet                         
System.Transactions                                                           9.0.425.16305                                                dotnet                         
